timestamp,demand_mw,observation_type,source,report_file
2026-08-01T20:00:00+05:30,3270.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE01Aug2026.pdf
2026-08-02T03:00:00+05:30,2550.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE02Aug2026.pdf
2026-08-02T10:00:00+05:30,2778.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE02Aug2026.pdf
2026-08-02T16:00:00+05:30,2748.0,day_peak,MSLDC Daily System Operations Report,WEBSITE02Aug2026.pdf
2026-08-02T20:00:00+05:30,2966.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE02Aug2026.pdf
2026-08-03T03:00:00+05:30,2317.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE03Aug2026.pdf
2026-08-03T10:00:00+05:30,3532.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE03Aug2026.pdf
2026-08-03T16:00:00+05:30,3523.0,day_peak,MSLDC Daily System Operations Report,WEBSITE03Aug2026.pdf
2026-08-03T20:00:00+05:30,3442.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE03Aug2026.pdf
2026-08-04T03:00:00+05:30,2397.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE04Aug2026.pdf
2026-08-04T10:00:00+05:30,3259.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE04Aug2026.pdf
2026-08-04T16:00:00+05:30,3478.0,day_peak,MSLDC Daily System Operations Report,WEBSITE04Aug2026.pdf
2026-08-04T20:00:00+05:30,3390.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE04Aug2026.pdf
2026-08-05T03:00:00+05:30,2312.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE05Aug2026.pdf
2026-08-05T10:00:00+05:30,3140.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE05Aug2026.pdf
2026-08-05T16:00:00+05:30,3505.0,day_peak,MSLDC Daily System Operations Report,WEBSITE05Aug2026.pdf
2026-08-05T20:00:00+05:30,3472.0,evening_peak,MSLDC Daily System Operations Report,WEBSITE05Aug2026.pdf
2026-08-06T03:00:00+05:30,2452.0,night_minimum,MSLDC Daily System Operations Report,WEBSITE06Aug2026.pdf
2026-08-06T10:00:00+05:30,3200.0,morning_peak,MSLDC Daily System Operations Report,WEBSITE06Aug2026.pdf
2026-08-06T16:00:00+05:30,3558.0,day_peak,MSLDC Daily System Operations Report,WEBSITE06Aug2026.pdf
